h;s;l;emotion
250;100;72;радость
252;100;72;радость
254;100;72;радость
256;100;72;радость
258;100;72;радость
260;100;72;радость
262;100;72;радость
264;100;72;радость
266;100;72;радость
268;100;72;радость
270;100;72;радость
272;100;72;радость
274;100;72;радость
276;100;72;радость
278;100;72;радость
280;100;72;радость
282;100;72;радость
284;100;72;радость
286;100;72;радость
288;100;72;радость
290;100;72;радость
292;100;72;радость
294;100;72;радость
296;100;72;радость
298;100;72;радость
300;100;72;радость
302;100;72;радость
304;100;72;радость
306;100;72;радость
308;100;72;радость
310;100;72;радость
312;100;72;радость
314;100;72;радость
316;100;72;радость
318;100;72;радость
320;100;72;радость
322;100;72;радость
324;100;72;радость
326;100;72;радость
328;100;72;радость
330;100;72;радость
332;100;72;радость
334;100;72;радость
336;100;72;радость
338;100;72;радость
340;100;72;радость
342;100;72;радость
344;100;72;радость
346;100;72;радость
348;100;72;радость
350;100;72;радость
352;100;72;радость
354;100;72;радость
356;100;72;радость
358;100;72;радость
0;100;76;радость
2;100;76;радость
4;100;76;радость
6;100;76;радость
8;100;76;радость
10;100;76;радость
12;100;76;радость
14;100;76;радость
16;100;76;радость
18;100;76;радость
20;100;76;радость
22;100;76;радость
24;100;76;радость
26;100;76;радость
28;100;76;радость
30;100;76;радость
32;100;76;радость
34;100;76;радость
36;100;76;радость
38;100;76;радость
40;100;76;радость
42;100;76;радость
44;100;76;радость
46;100;76;радость
48;100;76;радость
50;100;76;радость
52;100;76;радость
54;100;76;радость
56;100;76;радость
58;100;76;радость
60;100;76;радость
62;100;76;радость
64;100;76;радость
66;100;76;радость
68;100;76;радость
70;100;76;радость
72;100;76;радость
74;100;76;радость
76;100;76;радость
78;100;76;радость
80;100;76;радость
82;100;76;радость
84;100;76;радость
86;100;76;радость
88;100;76;радость
90;100;76;радость
92;100;76;радость
94;100;76;радость
96;100;76;радость
98;100;76;радость
100;100;76;радость
102;100;76;радость
104;100;76;радость
106;100;76;радость
108;100;76;радость
110;100;76;радость
112;100;76;радость
114;100;76;радость
116;100;76;радость
118;100;76;радость
120;100;76;радость
122;100;76;радость
124;100;76;радость
126;100;76;радость
128;100;76;радость
130;100;76;радость
132;100;76;радость
134;100;76;радость
136;100;76;радость
138;100;76;радость
140;100;76;радость
142;100;76;радость
144;100;76;радость
146;100;76;радость
148;100;76;радость
150;100;76;радость
152;100;76;радость
154;100;76;радость
156;100;76;радость
158;100;76;радость
160;100;76;радость
162;100;76;радость
164;100;76;радость
166;100;76;радость
168;100;76;радость
170;100;76;радость
172;100;76;радость
174;100;76;радость
176;100;76;радость
178;100;76;радость
180;100;76;радость
182;100;76;радость
184;100;76;радость
186;100;76;радость
188;100;76;радость
190;100;76;радость
192;100;76;радость
194;100;76;радость
196;100;76;радость
198;100;76;радость
200;100;76;радость
202;100;76;радость
204;100;76;радость
206;100;76;радость
208;100;76;радость
210;100;76;радость
212;100;76;радость
214;100;76;радость
216;100;76;радость
218;100;76;радость
220;100;76;радость
222;100;76;радость
224;100;76;радость
226;100;76;радость
228;100;76;радость
230;100;76;радость
232;100;76;радость
234;100;76;радость
236;100;76;радость
238;100;76;радость
240;100;76;радость
242;100;76;радость
244;100;76;радость
246;100;76;радость
248;100;76;радость
250;100;76;радость
252;100;76;радость
254;100;76;радость
256;100;76;радость
258;100;76;радость
260;100;76;радость
262;100;76;радость
264;100;76;радость
266;100;76;радость
268;100;76;радость
270;100;76;радость
272;100;76;радость
274;100;76;радость
276;100;76;радость
278;100;76;радость
280;100;76;радость
282;100;76;радость
284;100;76;радость
286;100;76;радость
288;100;76;радость
290;100;76;радость
292;100;76;радость
294;100;76;радость
296;100;76;радость
298;100;76;радость
300;100;76;радость
302;100;76;радость
304;100;76;радость
306;100;76;радость
308;100;76;радость
310;100;76;радость
312;100;76;радость
314;100;76;радость
316;100;76;радость
318;100;76;радость
320;100;76;радость
322;100;76;радость
324;100;76;радость
326;100;76;радость
328;100;76;радость
330;100;76;радость
332;100;76;радость
334;100;76;радость
336;100;76;радость
338;100;76;радость
340;100;76;радость
342;100;76;радость
344;100;76;радость
346;100;76;радость
348;100;76;радость
350;100;76;радость
352;100;76;радость
354;100;76;радость
356;100;76;радость
358;100;76;радость
0;100;82;радость
2;100;82;радость
4;100;82;радость
6;100;82;радость
8;100;82;радость
10;100;82;радость
12;100;82;радость
14;100;82;радость
16;100;82;радость
18;100;82;радость
20;100;82;радость
22;100;82;радость
24;100;82;радость
26;100;82;радость
28;100;82;радость
30;100;82;радость
32;100;82;радость
34;100;82;радость
36;100;82;радость
38;100;82;радость
40;100;82;радость
42;100;82;радость
44;100;82;радость
46;100;82;радость
48;100;82;радость
50;100;82;радость
52;100;82;радость
54;100;82;радость
56;100;82;радость
58;100;82;радость
60;100;82;радость
62;100;82;радость
64;100;82;радость
66;100;82;радость
68;100;82;радость
70;100;82;радость
72;100;82;радость
74;100;82;радость
76;100;82;радость
78;100;82;радость
80;100;82;радость
82;100;82;радость
84;100;82;радость
86;100;82;радость
88;100;82;радость
90;100;82;радость
92;100;82;радость
94;100;82;радость
96;100;82;радость
98;100;82;радость
100;100;82;радость
102;100;82;радость
104;100;82;радость
106;100;82;радость
108;100;82;радость
110;100;82;радость
112;100;82;радость
114;100;82;радость
116;100;82;радость
118;100;82;радость
120;100;82;радость
122;100;82;радость
124;100;82;радость
126;100;82;радость
128;100;82;радость
130;100;82;радость
132;100;82;радость
134;100;82;радость
136;100;82;радость
138;100;82;радость
140;100;82;радость
142;100;82;радость
144;100;82;радость
146;100;82;радость
148;100;82;радость
150;100;82;радость
152;100;82;радость
154;100;82;радость
156;100;82;радость
158;100;82;радость
160;100;82;радость
162;100;82;радость
164;100;82;радость
166;100;82;радость
168;100;82;радость
170;100;82;радость
172;100;82;радость
174;100;82;радость
176;100;82;радость
178;100;82;радость
180;100;82;радость
182;100;82;радость
184;100;82;радость
186;100;82;радость
188;100;82;радость
190;100;82;радость
192;100;82;радость
194;100;82;радость
196;100;82;радость
198;100;82;радость
200;100;82;радость
202;100;82;радость
204;100;82;радость
206;100;82;радость
208;100;82;радость
210;100;82;радость
212;100;82;радость
214;100;82;радость
216;100;82;радость
218;100;82;радость
220;100;82;радость
222;100;82;радость
224;100;82;радость
226;100;82;радость
228;100;82;радость
230;100;82;радость
232;100;82;радость
234;100;82;радость
236;100;82;радость
238;100;82;радость
240;100;82;радость
242;100;82;радость
244;100;82;радость
246;100;82;радость
248;100;82;радость
250;100;82;радость
252;100;82;радость
254;100;82;радость
256;100;82;радость
258;100;82;радость
260;100;82;радость
262;100;82;радость
264;100;82;радость
266;100;82;радость
268;100;82;радость
270;100;82;радость
272;100;82;радость
274;100;82;радость
276;100;82;радость
278;100;82;радость
280;100;82;радость
282;100;82;радость
284;100;82;радость
286;100;82;радость
288;100;82;радость
290;100;82;радость
292;100;82;радость
294;100;82;радость
296;100;82;радость
298;100;82;радость
300;100;82;радость
302;100;82;радость
304;100;82;радость
306;100;82;радость
308;100;82;радость
310;100;82;радость
312;100;82;радость
314;100;82;радость
316;100;82;радость
318;100;82;радость
320;100;82;радость
322;100;82;радость
324;100;82;радость
326;100;82;радость
328;100;82;радость
330;100;82;радость
332;100;82;радость
334;100;82;радость
336;100;82;радость
338;100;82;радость
340;100;82;радость
342;100;82;радость
344;100;82;радость
346;100;82;радость
348;100;82;радость
350;100;82;радость
352;100;82;радость
354;100;82;радость
356;100;82;радость
358;100;82;радость
0;100;86;радость
2;100;86;радость
4;100;86;радость
6;100;86;радость
8;100;86;радость
10;100;86;радость
12;100;86;радость
14;100;86;радость
16;100;86;радость
18;100;86;радость
20;100;86;радость
22;100;86;радость
24;100;86;радость
26;100;86;радость
28;100;86;радость
30;100;86;радость
32;100;86;радость
34;100;86;радость
36;100;86;радость
38;100;86;радость
40;100;86;радость
42;100;86;радость
44;100;86;радость
46;100;86;радость
48;100;86;радость
50;100;86;радость
52;100;86;радость
54;100;86;радость
56;100;86;радость
58;100;86;радость
60;100;86;радость
62;100;86;радость
64;100;86;радость
66;100;86;радость
68;100;86;радость
70;100;86;радость
72;100;86;радость
74;100;86;радость
76;100;86;радость
78;100;86;радость
80;100;86;радость
82;100;86;радость
84;100;86;радость
86;100;86;радость
88;100;86;радость
90;100;86;радость
92;100;86;радость
94;100;86;радость
96;100;86;радость
98;100;86;радость
100;100;86;радость
102;100;86;радость
104;100;86;радость
106;100;86;радость
108;100;86;радость
110;100;86;радость
112;100;86;радость
114;100;86;радость
116;100;86;радость
118;100;86;радость
120;100;86;радость
122;100;86;радость
124;100;86;радость
126;100;86;радость
128;100;86;радость
130;100;86;радость
132;100;86;радость
134;100;86;радость
136;100;86;радость
138;100;86;радость
140;100;86;радость
142;100;86;радость
144;100;86;радость
146;100;86;радость
148;100;86;радость
150;100;86;радость
152;100;86;радость
154;100;86;радость
156;100;86;радость
158;100;86;радость
160;100;86;радость
162;100;86;радость
164;100;86;радость
166;100;86;радость
168;100;86;радость
170;100;86;радость
172;100;86;радость
174;100;86;радость
176;100;86;радость
178;100;86;радость
180;100;86;радость
182;100;86;радость
184;100;86;радость
186;100;86;радость
188;100;86;радость
190;100;86;радость
192;100;86;радость
194;100;86;радость
196;100;86;радость
198;100;86;радость
200;100;86;радость
202;100;86;радость
204;100;86;радость
206;100;86;радость
208;100;86;радость
210;100;86;радость
212;100;86;радость
214;100;86;радость
216;100;86;радость
218;100;86;радость
220;100;86;радость
222;100;86;радость
224;100;86;радость
226;100;86;радость
228;100;86;радость
230;100;86;радость
232;100;86;радость
234;100;86;радость
236;100;86;радость
238;100;86;радость
240;100;86;радость
242;100;86;радость
244;100;86;радость
246;100;86;радость
248;100;86;радость
250;100;86;радость
252;100;86;радость
254;100;86;радость
256;100;86;радость
258;100;86;радость
260;100;86;радость
262;100;86;радость
264;100;86;радость
266;100;86;радость
268;100;86;радость
270;100;86;радость
272;100;86;радость
274;100;86;радость
276;100;86;радость
278;100;86;радость
280;100;86;радость
282;100;86;радость
284;100;86;радость
286;100;86;радость
288;100;86;радость
290;100;86;радость
292;100;86;радость
294;100;86;радость
296;100;86;радость
298;100;86;радость
300;100;86;радость
302;100;86;радость
304;100;86;радость
306;100;86;радость
308;100;86;радость
310;100;86;радость
312;100;86;радость
314;100;86;радость
316;100;86;радость
318;100;86;радость
320;100;86;радость
322;100;86;радость
324;100;86;радость
326;100;86;радость
328;100;86;радость
330;100;86;радость
332;100;86;радость
334;100;86;радость
336;100;86;радость
338;100;86;радость
340;100;86;радость
342;100;86;радость
344;100;86;радость
346;100;86;радость
348;100;86;радость
350;100;86;радость
352;100;86;радость
354;100;86;радость
356;100;86;радость
358;100;86;радость
0;100;89;радость
2;100;89;радость
4;100;89;радость
6;100;89;радость
8;100;89;радость
10;100;89;радость
12;100;89;радость
14;100;89;радость
16;100;89;радость
18;100;89;радость
20;100;89;радость
22;100;89;радость
24;100;89;радость
26;100;89;радость
28;100;89;радость
30;100;89;радость
32;100;89;радость
34;100;89;радость
36;100;89;радость
38;100;89;радость
40;100;89;радость
42;100;89;радость
44;100;89;радость
46;100;89;радость
48;100;89;радость
50;100;89;радость
52;100;89;радость
54;100;89;радость
56;100;89;радость
58;100;89;радость
60;100;89;радость
62;100;89;радость
64;100;89;радость
66;100;89;радость
68;100;89;радость
70;100;89;радость
72;100;89;радость
74;100;89;радость
76;100;89;радость
78;100;89;радость
80;100;89;радость
82;100;89;радость
84;100;89;радость
86;100;89;радость
88;100;89;радость
90;100;89;радость
92;100;89;радость
94;100;89;радость
96;100;89;радость
98;100;89;радость
100;100;89;радость
102;100;89;радость
104;100;89;радость
106;100;89;радость
108;100;89;радость
110;100;89;радость
112;100;89;радость
114;100;89;радость
116;100;89;радость
118;100;89;радость
120;100;89;радость
122;100;89;радость
124;100;89;радость
126;100;89;радость
128;100;89;радость
130;100;89;радость
132;100;89;радость
134;100;89;радость
136;100;89;радость
138;100;89;радость
140;100;89;радость
142;100;89;радость
144;100;89;радость
146;100;89;радость
148;100;89;радость
150;100;89;радость
152;100;89;радость
154;100;89;радость
156;100;89;радость
158;100;89;радость
160;100;89;радость
162;100;89;радость
164;100;89;радость
166;100;89;радость
168;100;89;радость
170;100;89;радость
172;100;89;радость
174;100;89;радость
176;100;89;радость
178;100;89;радость
180;100;89;радость
182;100;89;радость
184;100;89;радость
186;100;89;радость
188;100;89;радость
190;100;89;радость
192;100;89;радость
194;100;89;радость
196;100;89;радость
198;100;89;радость
200;100;89;радость
202;100;89;радость
204;100;89;радость
206;100;89;радость
208;100;89;радость
210;100;89;радость
212;100;89;радость
214;100;89;радость
216;100;89;радость
218;100;89;радость
220;100;89;радость
222;100;89;радость
224;100;89;радость
226;100;89;радость
228;100;89;радость
230;100;89;радость
232;100;89;радость
234;100;89;радость
236;100;89;радость
238;100;89;радость
240;100;89;радость
242;100;89;радость
244;100;89;радость
246;100;89;радость
248;100;89;радость
250;100;89;радость
252;100;89;радость
254;100;89;радость
256;100;89;радость
258;100;89;радость
260;100;89;радость
262;100;89;радость
264;100;89;радость
266;100;89;радость
268;100;89;радость
270;100;89;радость
272;100;89;радость
274;100;89;радость
276;100;89;радость
278;100;89;радость
280;100;89;радость
282;100;89;радость
284;100;89;радость
286;100;89;радость
288;100;89;радость
290;100;89;радость
292;100;89;радость
294;100;89;радость
296;100;89;радость
298;100;89;радость
300;100;89;радость
302;100;89;радость
304;100;89;радость
306;100;89;радость
308;100;89;радость
310;100;89;радость
312;100;89;радость
314;100;89;радость
316;100;89;радость
318;100;89;радость
320;100;89;радость
322;100;89;радость
324;100;89;радость
326;100;89;радость
328;100;89;радость
330;100;89;радость
332;100;89;радость
334;100;89;радость
336;100;89;радость
338;100;89;радость
340;100;89;радость
342;100;89;радость
344;100;89;радость
346;100;89;радость
348;100;89;радость
350;100;89;радость
352;100;89;радость
354;100;89;радость
356;100;89;радость
358;100;89;радость
0;100;93;радость
2;100;93;радость
4;100;93;радость
6;100;93;радость
8;100;93;радость
10;100;93;радость
12;100;93;радость
14;100;93;радость
16;100;93;радость
18;100;93;радость
20;100;93;радость
22;100;93;радость
24;100;93;радость
26;100;93;радость
28;100;93;радость
30;100;93;радость
32;100;93;радость
34;100;93;радость
36;100;93;радость
38;100;93;радость
40;100;93;радость
42;100;93;радость
44;100;93;радость
46;100;93;радость
48;100;93;радость
50;100;93;радость
52;100;93;радость
54;100;93;радость
56;100;93;радость
58;100;93;радость
60;100;93;радость
62;100;93;радость
64;100;93;радость
66;100;93;радость
68;100;93;радость
70;100;93;радость
72;100;93;радость
74;100;93;радость
76;100;93;радость
78;100;93;радость
80;100;93;радость
82;100;93;радость
84;100;93;радость
86;100;93;радость
88;100;93;радость
90;100;93;радость
92;100;93;радость
94;100;93;радость
96;100;93;радость
98;100;93;радость
100;100;93;радость
102;100;93;радость
104;100;93;радость
106;100;93;радость
108;100;93;радость
110;100;93;радость
112;100;93;радость
114;100;93;радость
116;100;93;радость
118;100;93;радость
120;100;93;радость
122;100;93;радость
124;100;93;радость
126;100;93;радость
128;100;93;радость
130;100;93;радость
132;100;93;радость
134;100;93;радость
136;100;93;радость
138;100;93;радость
140;100;93;радость
142;100;93;радость
144;100;93;радость
146;100;93;радость
148;100;93;радость
150;100;93;радость
152;100;93;радость
154;100;93;радость
156;100;93;радость
158;100;93;радость
160;100;93;радость
162;100;93;радость
164;100;93;радость
166;100;93;радость
168;100;93;радость
170;100;93;радость
172;100;93;радость
174;100;93;радость
176;100;93;радость
